exam_title,topic_name,type,question_text,options,correct_answers,explanation,difficulty
AWS Solutions Architect,Compute,MCQ,Best service for long-running container workloads?,Lambda|Fargate|S3|CloudFront,1,Fargate runs containers without managing servers.,Easy
AWS Solutions Architect,Compute,MCQ,Spot Instances are ideal for:,"Mission-critical DBs|Fault-tolerant, flexible workloads|Low-latency trading|Licensing servers",1,They are interruptible but cheap.,Easy
AWS Solutions Architect,Storage,MCQ,S3 IA is designed for:,Hot data|Cold archives|Infrequent access|Transactional data,2,Infrequent Access reduces cost with retrieval fee.,Easy
AWS Solutions Architect,Storage,MCQ,Glacier Deep Archive retrieval is:,Minutes|Hours|Milliseconds|Seconds,1,Deep Archive retrieval typically takes hours.,Medium
AWS Solutions Architect,Networking,MCQ,Which service connects on-prem to VPC privately?,Direct Connect|CloudFront|Route 53|API Gateway,0,DX provides dedicated private connectivity.,Medium
AWS Solutions Architect,Networking,MCQ,NAT Gateway primarily enables:,Inbound SSH|Outbound internet for private subnets|Peering|DNS hosting,1,Private instances reach the internet via NAT.,Easy
AWS Solutions Architect,Security,MCQ,KMS is used for:,Monitoring|Encryption key management|Messaging|ETL,1,AWS Key Management Service handles keys.,Easy
AWS Solutions Architect,Security,MCQ,IAM role best use-case:,Hardcode creds|Share root account|Grant temporary permissions|Disable MFA,2,Roles provide temporary credentials.,Easy
AWS Solutions Architect,Compute,MCQ,Auto Scaling launches instances based on:,Alarms & policies|Manual triggers only|Static count|Cron only,0,Uses CloudWatch metrics and policies.,Medium
AWS Solutions Architect,Storage,MCQ,S3 durability is:,99.9%|99.99%|99.999999999%|95%,2,S3 offers 11 9s durability.,Easy
AWS Solutions Architect,Networking,MCQ,VPC peering connects:,VPC-to-VPC privately|VPC to internet|VPC to DX|Region to region with DX,0,Private routing between VPCs.,Medium
AWS Solutions Architect,Security,MCQ,WAF protects:,EC2 only|RDS only|HTTP(S) apps from common exploits|S3 uploads,2,Web Application Firewall filters web requests.,Medium
AWS Solutions Architect,Compute,MCQ,Lambda max execution time (as of 2025):,1 min|5 min|15 min|60 min,2,Lambda supports up to 15 minutes.,Medium
