exam_title,topic_name,type,question_text,options,correct_answers,explanation,difficulty,domain_weight
CompTIA Security+,General Security Concepts,TRUE_FALSE,"As a Sec+ analyst, Defense in depth uses multiple layers of security. (Case Study)",True|False,0,Defense in depth involves layered controls.,Easy,12%
CompTIA Security+,"Threats, Vulnerabilities, and Mitigations",MCQ,Exam-style: Ransomware impact is primarily: (Incident),Data theft|Data encryption|Privilege escalation|Sniffing,1,Ransomware encrypts data for ransom.,Easy,22%
CompTIA Security+,General Security Concepts,MCQ,"As a Sec+ analyst, CIA triad stands for: (Policy)","Confidentiality, Integrity, Availability|Confidentiality, Identity, Access|Control, Integrity, Audit|Confidentiality, Integrity, Authentication",0,"CIA is the core principle: Confidentiality, Integrity, Availability.",Easy,12%
CompTIA Security+,Security Architecture,MCQ,Exam-style: Cloud deployment models include: (Incident),"Public, Private, Hybrid|LAN, WAN, MAN|PaaS, SaaS, IaaS|NAT, PAT, VPN",0,"Cloud can be public, private, or hybrid.",Easy,18%
CompTIA Security+,Security Operations,MCQ,"For compliance, SOC analysts mainly: (Network)",Write software|Respond to security alerts|Install hardware|Develop websites,1,SOC handles monitoring and response.,Easy,28%
CompTIA Security+,"Threats, Vulnerabilities, and Mitigations",MCQ,"For compliance, Phishing is an example of: (Network)",Technical attack|Social engineering|Cryptographic attack|DoS,1,Phishing tricks users into revealing info.,Easy,22%
CompTIA Security+,Security Architecture,MCQ,Exam-style: VPN provides: (Exam Scenario),Availability|Encryption and tunneling|Malware protection|File backup,1,VPN secures traffic with tunnels/encryption.,Easy,18%
CompTIA Security+,"Threats, Vulnerabilities, and Mitigations",MCQ,Best practice: Smishing uses: (Critical),Email|Phone SMS|VoIP|USB,1,SMS phishing is smishing.,Easy,22%
CompTIA Security+,Security Architecture,MCQ,"For compliance, VPN provides: (Network)",Availability|Encryption and tunneling|Malware protection|File backup,1,VPN secures traffic with tunnels/encryption.,Easy,18%
CompTIA Security+,"Threats, Vulnerabilities, and Mitigations",MCQ,Exam-style: Phishing is an example of: (Exam Scenario),Technical attack|Social engineering|Cryptographic attack|DoS,1,Phishing tricks users into revealing info.,Easy,22%
CompTIA Security+,Security Operations,MCQ,Exam-style: Incident response first step: (Exam Scenario),Containment|Identification|Eradication|Recovery,1,The first step is identifying the incident.,Medium,28%
CompTIA Security+,Security Architecture,MCQ,IDS/IPS primary function:,Encrypt traffic|Detect/prevent intrusions|Generate hashes|Key exchange,1,IDS/IPS detect/prevent malicious activity.,Easy,18%
CompTIA Security+,General Security Concepts,MCQ,Best practice: Which protocol secures web traffic? (Lab),HTTP|HTTPS|FTP|SMTP,1,HTTPS uses TLS to secure web traffic.,Easy,12%
CompTIA Security+,"Threats, Vulnerabilities, and Mitigations",MCQ,"As a Sec+ analyst, Phishing is an example of: (Policy)",Technical attack|Social engineering|Cryptographic attack|DoS,1,Phishing tricks users into revealing info.,Easy,22%
CompTIA Security+,Security Operations,MCQ,Best practice: SIEM stands for: (Critical),Security Information and Event Management|Secure Internet Email Messaging|System Integrity and Enterprise Monitoring|Security Incident Enterprise Management,0,"SIEM collects, analyzes, and correlates security events.",Medium,28%
CompTIA Security+,Security Architecture,MCQ,"For compliance, IDS/IPS primary function: (Network)",Encrypt traffic|Detect/prevent intrusions|Generate hashes|Key exchange,1,IDS/IPS detect/prevent malicious activity.,Easy,18%
CompTIA Security+,Security Program Management and Oversight,MCQ,"For compliance, Data classification mainly helps: (Network)",Encrypt files|Determine sensitivity & handling|Patch systems|Build firewalls,1,Classification defines sensitivity/controls.,Medium,20%
CompTIA Security+,"Threats, Vulnerabilities, and Mitigations",MCQ,Zero-day exploit is:,Known patched vulnerability|Exploited before vendor patch|Insider threat|Malware signature,1,Zero-days exploit unpatched flaws.,Medium,22%
CompTIA Security+,General Security Concepts,MCQ,Best practice: Principle of least privilege means: (Critical),Max permissions|Minimum necessary access|Root only|Guest only,1,Users should get only the access needed.,Easy,12%
CompTIA Security+,Security Operations,MCQ,Best practice: Incident response first step: (Critical),Containment|Identification|Eradication|Recovery,1,The first step is identifying the incident.,Medium,28%
CompTIA Security+,Security Architecture,MCQ,"During operations, VPN provides: (Practice)",Availability|Encryption and tunneling|Malware protection|File backup,1,VPN secures traffic with tunnels/encryption.,Easy,18%
CompTIA Security+,Security Program Management and Oversight,TRUE_FALSE,"For compliance, GDPR is a privacy regulation in the EU. (SOC Use-Case)",True|False,0,GDPR regulates data privacy in EU.,Easy,20%
CompTIA Security+,Security Architecture,MCQ,Best practice: VPN provides: (Critical),Availability|Encryption and tunneling|Malware protection|File backup,1,VPN secures traffic with tunnels/encryption.,Easy,18%
CompTIA Security+,"Threats, Vulnerabilities, and Mitigations",MCQ,"For compliance, Phishing is an example of: (Network)",Technical attack|Social engineering|Cryptographic attack|DoS,1,Phishing tricks users into revealing info.,Easy,22%
CompTIA Security+,Security Architecture,MCQ,"During operations, Firewall works at: (Cloud)",Layer 2|Layer 3/4|Layer 7|All layers,1,Traditional firewalls filter at L3/4.,Easy,18%
CompTIA Security+,Security Operations,MCQ,"As a Sec+ analyst, Forensic evidence integrity ensured by: (Case Study)",Hashing|Compression|Encryption|NAT,0,Hashes validate integrity of collected evidence.,Medium,28%
